Fabricante,Descripción,Datos,Precio_£,Ciudad
Kia Rio,1.4L DOMINO 5d AUTO 96 BHP,"69,474 miles
2011 reg
Automatic
Petrol","£3,250",Watford
Ford Focus,1.6L ZETEC NAVIGATOR TDCI 5d 113 BHP,"84,586 miles
2014 reg
Manual
Diesel","£4,650",Watford
Hyundai i30,1.4 S 5d 99 BHP,"98,898 miles
2015 reg
Manual
Petrol","£4,700",Peterborough
SEAT Ibiza,1.0 E 3d 74 BHP,"71,056 miles
2015 reg
Manual
Petrol","£4,700",Peterborough
Citroen C1,1.0 VTi Furio (68 ps),"56,340 miles
2017 reg
Manual
Petrol","£4,962",Nationwide delivery available
Suzuki Celerio,SZ2,"50,965 miles
2018 reg
Manual
Petrol","£4,995",Doncaster
Vauxhall Corsa,SRi,"44,872 miles
2014 reg
Manual
Petrol","£4,995",Bradford
Kia Venga,1 Air,"40,444 miles
2014 reg
Manual
Petrol","£4,995",Doncaster
Toyota AYGO,1.0 VVT-i x-play (68 ps),"87,087 miles
2016 reg
Manual
Petrol","£5,001",Nationwide delivery available
Ford Ka,1.2 Grand Prix III (69 ps),"44,572 miles
2014 reg
Manual
Petrol","£5,069",Nationwide delivery available
Volkswagen Golf,1.6L SE TDI BLUEMOTION TECHNOLOGY 5d 103 BHP,"113,318 miles
2013 reg
Manual
Diesel","£5,150",Watford
Vauxhall Astra,1.6L SRI 5d 113 BHP,"63,200 miles
2015 reg
Manual
Petrol","£5,250",Watford
Fiat 500L,Trekking,"76,939 miles
2015 reg
Manual
Diesel","£5,250",Derby
Hyundai i30,i30 1.4 Active Hatchback 5dr Petrol Manual Euro 5 (100 ps),"83,171 miles
2015 reg
Manual
Petrol","£5,295",Exeter
Dacia Sandero,Sandero 1.0 SCe Ambiance Hatchback 5dr Petrol Manual Euro 6 (75 ps),"48,902 miles
2017 reg
Manual
Petrol","£5,295",Torquay
Fiat 500,1.2 Colour Therapy (69 bhp),"38,652 miles
2014 reg
Manual
Petrol","£5,393",Nationwide delivery available
Renault Captur,Expression + Convenience,"77,681 miles
2014 reg
Manual
Diesel","£5,395",Derby
Citroen C4 Picasso,1.6 HDI VTR PLUS 5d 91 BHP,"55,712 miles
2014 reg
Manual
Diesel","£5,490",Peterborough
Vauxhall Corsa,Corsa 1.4i ecoFLEX Energy Hatchback 3dr Petrol Manual Euro 6 (a/c) (75 ps),"76,153 miles
2017 reg
Manual
Petrol","£5,490",Portsmouth
Ford Fiesta,Fiesta 1.0T EcoBoost Titanium X Hatchback 5dr Petrol Manual Euro 6 (s/s) (100 ps),"87,619 miles
2015 reg
Manual
Petrol","£5,495",Exeter
Kia Picanto,1,"9,859 miles
2012 reg
Manual
Petrol","£5,495",Derby
Vauxhall Corsa,Corsa 1.4i ecoFLEX Energy Hatchback 3dr Petrol Manual Euro 6 (a/c) (90 ps),"80,833 miles
2017 reg
Manual
Petrol","£5,495",Exeter
Citroen C1,Feel,"42,552 miles
2016 reg
Manual
Petrol","£5,495",Doncaster
Ford Fiesta,Style,"50,030 miles
2015 reg
Manual
Petrol","£5,495",Bradford
Renault Twingo,Dynamique,"39,738 miles
2014 reg
Manual
Petrol","£5,499",Stoke on Trent
Vauxhall ADAM,Jam,"38,667 miles
2014 reg
Manual
Petrol","£5,500",Darlington
Renault Clio,1.2 16V Dynamique Nav (75 ps),"64,764 miles
2015 reg
Manual
Petrol","£5,500",Nationwide delivery available
Vauxhall Corsa,Corsa 1.4i ecoTEC Sport Hatchback 5dr Petrol Manual Euro 6 (90 ps),"92,685 miles
2018 reg
Manual
Petrol","£5,550",Exeter
Ford C-Max,C-Max Titanium TDCI,"99,320 miles
2016 reg
Manual
Diesel","£5,600",Watford
Vauxhall Corsa,Corsa 1.4 16V SE Hatchback 5dr Petrol Manual Wide Ratio Euro 5 (100 ps),"45,600 miles
2015 reg
Manual
Petrol","£5,695",Swindon
Toyota AYGO,AYGO X-CITE VVT-I,"67,816 miles
2014 reg
Manual
Petrol","£5,700",Peterborough
Ford Focus,Zetec,"91,500 miles
2016 reg
Manual
Diesel","£5,700",Peterborough
Peugeot 208,1.2 PureTech Active (82 ps),"56,318 miles
2016 reg
Manual
Petrol","£5,713",Nationwide delivery available
Smart Forfour,Proxy,"38,006 miles
2015 reg
Manual
Petrol","£5,750",Derby
Skoda Octavia,1.6 SE BUSINESS TDI CR 5d 103 BHP,"98,190 miles
2014 reg
Manual
Diesel","£5,790",Peterborough
Vauxhall ADAM,Slam,"41,888 miles
2014 reg
Manual
Petrol","£5,795",Blackburn
Hyundai i10,SE,"31,000 miles
2015 reg
Manual
Petrol","£5,795",Sheffield
Vauxhall Astra GTC,1.4L SRI S/S 3d 138 BHP,"57,072 miles
2015 reg
Manual
Petrol","£5,850",Watford
Suzuki Swift,SZ-L,"71,018 miles
2016 reg
Manual
Petrol","£5,895",Sheffield
Hyundai i20,Active,"34,346 miles
2014 reg
Manual
Petrol","£5,900",Newcastle
BMW 3 Series,2.0L 328I MODERN 4d 242 BHP,"134,921 miles
2013 reg
Manual
Petrol","£5,900",Watford
Mini Hatch,1.2 One Euro 6 (s/s) 5dr,"100,287 miles
2016 reg
Manual
Petrol","£5,900",Watford
